Authors,Title,Publication,Year,Link,Paper ID,Abstract,coincidences
['Rym Chaid'],"""Beyond the Horizon: Space Concordia's Impactful Space Education Initiatives and Innovative Learning Experiences for Future Aerospace Leaders""","IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/91305/,91305,"This paper explores Space-Concordia, a Canadian university student-led space program dedicated to fostering innovation and hands-on learning in space-related disciplines. Operating within a structured framework, Space-Concordia comprises four specialized divisions, each offering unique learning opportunities in space exploration and research.

The Rocketry Division pioneers the development of one of the first student-built liquid-fueled rockets with potential space reach. Participants gain immersive experiences in aerodynamics, avionics, propulsion, materials science, and systems engineering. They actively engage in rigorous testing and analysis, developing skills in data interpretation and iterative design processes. Notably, the division has successfully built and tested the most powerful student-built rocket engine.

In the Robotics Division, students delve into the mechanical design of Mars rovers, acquiring expertise in 3D printing, fabrication, and the construction of reliable robotic systems. Programming autonomous functionalities enhances skills in navigation algorithms and control systems, crucial for real-world applications throughout their engineering degree.

The Spacecraft Division focuses on CubeSat development, providing hands-on experience in electronics, communication systems, and space systems integration. Students navigate satellite launches and deployment intricacies, honing project management and logistical skills. Notably, students successfully deployed their first satellite to space under the Canadian Space Agency's supervision in 2023.

The pioneering Space Health Division researches on the physiological impacts of space exploration and extreme environments on the human body. Students design and implement an analog astronaut training program, fostering interdisciplinary collaboration and research methodologies. They receive training in biology, 3D printing, modeling, materials science, and scientific research publication. Students engage in scientific research methodologies, including data collection and statistical analysis, gaining skills applicable across various scientific and engineering disciplines.

These projects not only impart technical knowledge but also nurture essential soft skills such as teamwork, communication, leadership and project management. 

Space-Concordia's commitment to holistic learning ensures students cultivate not only expertise but also skills crucial for success in engineering and space exploration. The paper provides an in-depth exploration of educational methodologies, transfer of knowledge in project-based learning, and skill development opportunities, shaping future aerospace leaders.

Additionally, the paper explores Space-Concordia members' roles as educators for the undergraduate community at large, organizing educational and technical workshops, and professional development activities. Initiatives like the “Canadian Space Exploration Conference SPEX,” the “Moving2Mars Summit,” the “Intro to Astronautics Workshops Series,” the “SpaceCast: Podcast,” and various other educational and outreach endeavors are discussed, emphasizing the impact and lessons learned from these initiatives in a post-mortem standard.",2
"['Ufuoma Ovienmhada', 'Mia Hines', 'Andrew West', 'Ahmed Diongue', 'Jordan Mazurek', 'Adair Kovac', 'Richard Thomas', 'Brent Minchew', 'Danielle Wood']",A Geospatial Platform for Observing environmental injustice in U.S. prison landscapes using satellite-derived data,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/84166/,84166,"In recent years, journalists and researchers have elevated a pattern of prison landscapes being exposed to environmental hazards such as air pollution, poor water quality, proximity to hazardous waste facilities, and inadequate mitigation in extreme weather conditions. This intersection of mass incarceration and environmental harm has been largely understudied in ecological terms or at scale.

We partner with the Campaign to Fight Toxic Prisons (CFTP), a national collective — composed of environmental justice organizers, formerly and currently incarcerated folks and their loved ones — organizing resistance at the intersection of incarceration and the environment. In this presentation, we highlight the development of a Decision Support System GIS tool that uses satellite-derived measurements to support CFTP’s advocacy support. The tool features two geospatial datasets evaluating Land Surface Temperature measurements and PM 2.5 concentrations in carceral landscapes across the U.S. We present the identification and design of user interactions with the tool that responds to data needs in decision-making workflows for prison ecology activist organizations. These workflows include efforts to improve material conditions of incarcerated people exposed to environmental hazards and longer-term efforts to affect policy and governance of controversial prison projects in toxic landscapes. The prototype also pairs the satellite-derived data with narrative information on incarcerated people who experienced these environmental hazards, providing a multi-method way of understanding environmental injustice in carceral landscapes. The findings can be used by community organizers, policy makers, and anyone seeking to advocate for environmental justice for a population of people that tend to sit at the margins of fights for human rights.",1
['Tommaso Andreussi'],A Mixed Verification Approach for Air-breathing Electric Propulsion,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/83491/,83491,"Air-breathing electric propulsion combines an air intake with an electric thruster to collect and accelerate the atmospheric particles in front of the spacecraft. Collecting the propellant from the atmosphere could enable long-duration space missions at very low altitudes, but the complexities of reproducing on-ground an environment representative of VLEO spaceflight hindered the development and the technological maturation of the concept [1]. In the framework of the BREATHE ERC project [2] and the ARIA FISA project, two different but synergic strategies for the characterization of air-breathing propulsion are being developed, merging experiments with modelling and simulations. In this work, we present the design of the BREATHE facility and the parallel development of a numerical suite to simulate the main physical processes of atmospheric neutral and plasma flows. In parallel, a second testing approach based on a rarefied atmospheric flow source and DSMC simulations is being pursued in a joint effort by the Sant'Anna School of Advanced Studies and the University of Pisa for the verification of air-breathing electric thrusters.

When a thruster is pipe-fed via a mass flow regulator, this typically implies a linear relation between the injected mass flow and the gas pressure, resulting in conditions not representative of thruster operation in air-breathing mode. The BREATHE facility comprises a main chamber (M) and an auxiliary chamber (A), which feature dedicated pumping systems. The equipment under test (i.e., the open-inlet air-breathing thruster) will be placed at the interface between the two chambers. By independently regulating the injected mass flow rate and the pressure difference between the two chambers, it will be possible to fine tune the flow properties (in terms of particle flux and pressure) inside the thruster control volume, and thus achieve a good level of representativeness of thruster operation in air-breathing mode. In parallel, the development of a flow source capable of reproducing rarefied fluxes of neutral particles, to be performed in the framework of the ARIA project, will allow for characterizing the intake collection and the effectiveness of integrated thruster-intake configurations.

In combination with state-of-the-art flow modelling techniques and data analysis implemented in the BREATHE Virtual Lab, the mixed physical-virtual laboratory environment will provide an effective platform for the development of air-breathing propulsion systems, contributing to the realization of next-generation air-breathing satellites.


[1]  Andreussi T., Ferrato E., Giannetti V. (2022), Journal of Electric Propulsion 1 (31)

[2]  ERC GA 101088694 “BREATHE”, https://doi.org/10.3030/101088694",1
"['Yuri Tanaka', 'Akitaka Ariga', 'Umut Kose']",A Preliminary Design of Cloud Chamber for Enhancing Interconnections Between Cosmic Rays and Humans,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/90022/,90022,"Over the centuries, humans have interacted with cosmic rays in different ways. Cosmic rays are constantly showering the earth, even though humans are insensible to them. Despite the interactive nature of cosmic rays and humans and their surroundings, their dynamics remain unnoticeable in their daily lives. Since the late 19th century when the first cloud chamber was invented, its design and observation methods have variably developed, one of which allows humans to visually observe radiation including cosmic muons, cosmic rays, with the naked eye in real time. Aiming to enhance the interconnection between cosmic rays and humans, we design a cloud chamber that transforms the signals from detected particles into artistic expressions. In particular, this cloud chamber is uniquely designed to realize a three-dimensional view from the trajectories of radiation that pass through the chamber.
In this paper, we discuss the background, concepts, preliminary design of the cloud chamber, and methodologies and processes. Through interdisciplinary collaboration among experimental physicists, artists, and designers, this practice-based research explores the observation methods of particles through humanity that would enrich the meaning of their interconnectedness. Ultimately, we attempt to unveil the hidden beauty and aesthetics within the universe. This attempt builds a basic method of transforming cosmic rays into an art installation in a poetic manner, which would enhance diverse expressions and experiences of the interactive nature of cosmic rays with humans.
How can we find an artistic meaning about the universe through humanity? How can we share the pleasure of touching the beauty within the universe? These questions are addressed through the collaborative processes of designing a cloud chamber and what we can observe from it.",3
"['Han-Sol Choi', 'Jung-Won Kuk', 'Gyeongho Woo', 'Dong-Soo Kang', 'Han-Seo Ko', 'Kyun Ho Lee']",A Study of Prediction and Validation of FEEP Crown needle Internal Porosity for small satellites using CNN(Convolutional Neural Network) and random functions,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/83143/,83143,"The recent trend of New Space is a mass production of small satellites (50~100kg) at low cost and in a short period of time, launch them in large numbers, and operate them in constellation. In particular, the need to develop thrusters for small satellites is emerging as orbit maintenance and transition functions are required to provide services based on constellation satellites. In order to generate thrust in space, the design of such thrusters must secure porosity inside the crown needle so that gallium, the fuel of the thruster, can pass through, ionize, and be emitted. 
In this study, a CAD model was generated based on a random function to predict the passage of gallium inside the crown needle, and the internal passage was predicted by learning with CNN based on the cross-sectional data of the CAD model. Based on these data, an emission test was conducted to verify the prediction method by checking whether ions were emitted.",1
"['Carmine Buonagura', 'Antonio Rizza', 'Francesco Topputo']",A Survey of Gravitational Modeling Techniques for Minor Body Proximity Operations,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/85630/,85630,"Exploration of minor celestial bodies is increasingly attracting interest, prompting various space missions to target these objects due to the potential for significant scientific and engineering breakthroughs they offer. Within this context, it becomes imperative to tackle the challenges inherent in operating in low-gravity, deep-space environments. A comprehensive understanding of the dynamics in the close proximity of these celestial objects becomes crucial for optimizing the scientific and technological yield of such missions. This is particularly relevant when employing cost-effective platforms like CubeSats, which operate with limited onboard resources and maneuvering capabilities. Therefore, thorough design and careful mission planning play a key role in maximizing the effectiveness of these missions. The environment in proximity of minor celestial bodies is characterized by a high degree of nonlinearity, resulting from their irregular shape and non-uniform mass distribution. 

Accurate modeling and understanding of the gravitational field of minor bodies is crucial for space missions. This paper explores three main modeling methods: spherical harmonics, Mascon model, and polyhedral model. The spherical harmonics method employs mathematical functions to represent the gravity of a body. The Mascon model approximates the body mass distribution using discrete regions, simplifying computations. The Polyhedral model, on the other hand, represent the body as a collection of polygons. Although each method offers unique advantages, researchers aim at simplifying the computational requirements for on-board implementation by conceptualizing different variants of these baseline methods.

This study conducts a comprehensive survey of these modeling techniques in the vicinity of well-known minor bodies with diverse shapes and masses. By evaluating their performance, the research goal is supporting mission designers in selecting the most suitable approach based on the specific target properties and operative scenario. Through extensive analysis, the study assesses the efficacy of each method in accurately modeling gravitational forces near minor bodies with varied shapes. Factors such as computational complexity, accuracy, and suitability for on-board implementation are carefully considered.
Whether prioritizing computational efficiency or accuracy, understanding the strengths and limitations of each method is essential to the successful planning of minor body exploration missions.",1
"['Pierpaolo Palmieri', 'Matteo Gaidano', 'Mario Troise', 'Laura Salamina', 'Matteo Melchiorre', 'Stefano Mauro']",A deployable and retractable inflatable link for a space robotic manipulator,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/83275/,83275,"This paper presents the development of IDRA, an Inflatable and Deployable Robotic Arm for space applications. IDRA allows significant volume savings, a critical factor in space missions, and offers a workspace expansion beyond the capabilities of conventional space robotic manipulators. Moreover, its compact nature during launch offers efficient cargo space utilization, which can lead to reduced launch costs. The robot has a hybrid structure made of inflatable links and rigid electric-actuated joints. Therefore, when links are deployed, the robot has the same mode of operation of a traditional one, controlled through standard visual servoing algorithms. The ability to deploy and retract allows to occupy volume only when needed, reducing the exposure to space debris impacts and extreme conditions.

IDRA can be employed in satellites with high economic value for inspection, maintenance and servicing activities to extend their operational life, contributing to the mitigation of space debris issue. In-orbit servicing, assembly and manufacturing (ISAM) is a growing trend in the space industry and new innovative, economic and sustainable systems are required to improve the sustainability of the sector. The robotic system could be deployed only when necessary and, when stored, would have little impact on the overall volume of the satellites. Nevertheless, IDRA could be employed as an on-board manipulator: the possibility to fold back the robot in its package allows to optimize the restricted room available in spacecrafts.

This paper focuses on the advancements in the design, analysis and verification of the inflatable link mechanism, the key component that enables the efficient deployment and retraction of the robot. The design of the inflatable link mechanism addresses key challenges in space missions: weight efficiency, compactness at launch, and resilience in the harsh space environment. Aramid fibers are selected as material for the structural layer, optimizing launch mass, and ensuring strength and stability. The link is designed to maintain structural integrity and operational precision of the robotic manipulator when inflated, conserving a cylindrical shape. A series of tests are performed to validate the inflatable link and the controllability, repeatability and stability of the deployment and retraction phase. A two-dimensional version of the robotic system is tested in microgravity conditions by using air bearings on epoxy resin floor. Results validate the deployable and retractable inflatable link. Next steps regard the test of the inflatable links under extreme conditions, such as high and low temperature and vacuum.",1
"['Mara Mirasoli', 'Seyedeh Rojin Shariati Pour', 'Afsaneh Emamiamin', 'Martina Zangheri', 'Donato Calabria', 'Massimo Guardigli', 'Domenico Caputo', 'Giampiero de Cesare', 'Nicola Lovecchio', 'Lorenzo Nardi', 'Nithin Maipan Davis', 'Thiago Baratto de Albuquerque', 'Parsa Abbasrezaee', 'Elisa Carrubba', 'Michele Balsamo', 'Liyana Popova', 'Marco Ceccarelli', 'Michele Ghiozzi', 'Andrea Tenaglia', 'Marino Crisconio', 'Alessandro Donati', 'Augusto Nascetti']",APHRODITE: A lab-on-chip biosensor for chemiluminescence immunodetection of salivary biomarkers onboard the International Space Station,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/86838/,86838,"One of the main challenges for future manned deep space missions is to protect the health of the crew by setting up preventive methods, {\it in situ} and/or telemedicine diagnosis, and countermeasures against dysfunctions and diseases typical of long-duration spaceflight. 
The development of diagnostic tools suitable for biological fluid analyses during a Space mission is an active field of aerospace research. Miniaturized devices that take advantage of microfluidic approaches, such as lab-on-chips, are an ideal solution for application in Space, providing improved efficiency in terms of sample size, response time, cost, analytical performance, process control, integration, and automation. 
The APHRODITE analytical system, jointly developed by the Department of Chemistry “Giacomo Ciamician” of the University of Bologna, the School of Aerospace Engineering (SIA) of Sapienza University of Rome, and Kayser Italia S.r.l., and funded by the Italian Space Agency (ASI) in the VUS3:4ISSEXPLORATION programme, is designed to enable the detection of salivary biomarkers onboard the International Space Station (ISS). 
APHRODITE employs an integrated, easy-to-use, and portable analytical instrumentation (comprising a lab-on-chip with integrated thin film photosensors, a magnetic actuation subsystem, a fluidic actuation subsystem, a low-noise front-end electronic board, control and interface electronics, and a mechanical housing) with highly miniaturized accessories and microfluidics that permit automatic operation and reconfigurability to perform different analyses. The system also includes a series of disposable cartridges, each containing all the reagents required for an analytical run. Onboard the ISS, APHRODITE will be connected by USB port to an onboard laptop for power supply and for system protocol execution through a custom Java Graphic User Interface (GUI).
The core of the APHRODITE system is a lab-on-chip device in which chemiluminescence (CL) immunoassays are performed on saliva samples to quantitatively detect cortisol and dehydroepiandrosterone sulphate (DHEA-S), chosen as biomarkers for stress and alterations of the immune system. Antibody-functionalized magnetic microbeads (MBs) are employed as the solid phase for the immunoassay, thus enabling easy and efficient microfluidic network cleaning and reconditioning between successive analytical runs. The use of chemiluminescence detection relying on hydrogenated amorphous silicon (a-Si:H) thin film photodiodes enables high assay detectability and wide dynamic range. 
Once validated in Space conditions, APHRODITE will be available for aiding in the investigation of the effects of the Space environment on the human organism. It will also be easily adapted to the detection of other biomarkers of interest, by supplying disposable cartridges with the necessary reagents.",1
"['Tommaso Tirelli', 'Paola De Carlo', 'Federico Gallizio']",ATILIUS - Additive Technologies for Innovative Low-thrust Iodine space Unit from Scrap,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/80782/,80782,"ATILIUS is an innovative fluidic space propulsion subsystem, created to reduce the consumption of material on Earth and to mitigate the generation of debris in space. The project aimed to design, simulate, optimise, fabricate, test and validate a highly efficient solid-propellant fluidic subsystem for a space-propulsion system of small satellites, made by metal 3D printing using recycled material as raw material.
With the New Space Economy, the number of satellites orbiting the Earth is increasing considerably, with a growing risk of exacerbating the problem of space debris. The best solution to mitigate this environmental threat is to ensure safe and controlled re-entry of satellites at the end of their operational life using electric propulsion systems. Mass constraints, especially in CubeSats, often prevent the addition of the propellant needed for end-of-life maneuvers.
REGULUS-50-I2 is an innovative low-thrust electric propulsion system developed by T4i specifically for small satellites, designed with a «plug & play philosophy» and using solid iodine as propellant. REGULUS current fluidic subsystem design has been optimized with ATILIUS, allowing sufficient propellant to be stored for both orbital maneuvers and de-orbiting.
The only viable solution to meet extreme mass and volume constraints is to adopt additive manufacturing (AM) technologies to fabricate the fluidic system. The Laser Powder Bed Fusion (LPBF) is an AM technology with low energy consumption (laser power 400W) and low waste generation; ATILIUS also used an innovative powder as raw material, i.e. a metal powder generated from scrap recycling, with a reduction in raw material consumption and a reduction in carbon footprint by 25% with respect to standard metal powder for AM.
In addition, a numerical tool and a thermal model of the system was developed using High Performing Computing to increase the efficiency of the device.
Once realized, ATILIUS was subjected to complete functional tests and vibration tests, demonstrating the validity of the approach adopted, from design to finishing, in a perspective of industrialization, without forgetting the sustainability aspects, quantified with a Life Cycle Assessment. The new design of ATILIUS featured a circular inflow of 96.7%, meaning that almost the 97% of the materials used came from recycled parts, contributing to circular economy goals.
ATILIUS is a joint project by the 3 Italian SMEs T4i – Technology for Innovation and Propulsion (Space), Aidro (Additive Manufacturing), Optimad (CFD Simulations) and has indirectly received funding from EU Horizon 2020 via the KYKLOS 4.0 project.",2
"['Angelica Maria Toscano', 'Daan Kortleven', 'Donato Fontanarosa', 'Maria Rosaria Vetrano', 'De Giorgi Maria Grazia', 'Johan Steelant', 'Luca Francioso', 'Guido Marseglia']",Actively pulsed dual heating in vaporizing liquid microthrusters: an integrated analysis combining numerical simulations and experiments.,"IAC 2024 congress proceedings, 75th  International Astronautical Congress (IAC),  Milan, Italy",2024,https://dl.iafastro.directory./event/IAC-2024/paper/89813/,89813,"The development of MEMS technology in recent years has enabled the interest in micropropulsion systems for small satellites (total mass $<$ 10 kg) used for Earth observation. The use of these satellites needs a more precise attitude control system to ensure high-pointing precision. One of the more attractive concepts is the vaporizing liquid microthruster (VLMs) due to its simplicity and the important advantage of using liquid like a propellant allowing lighter and smaller propellant tanks. VLMs can provide nominal thrust forces ranging between 0.1 and 10 mN with specific impulses (Isp) above 100 s for water. However, their current technology readiness level is still below 5 due to the occurrence of flow boiling instabilities arising when transforming the liquid into vapor. Such flow boiling instabilities need to be properly controlled as they can degrade the thermal/propulsive performance and be detrimental to device longevity at the same time.
With the collaboration of the Institute for Microelectronics and Microsystems IMM-CNR (Italy) and the support of the KU Leuven (Belgium), the Aerospace Propulsion group at the University of Salento has developed a novel water-fed MEMS VLM concept equipped with a dual heating system coupled with microsensing capability via embedded thermistors/vapor quality capacitive sensors. Such a design is based on previous studies that highlighted severe limitations when working with a single heating system and geometry. The new proposed configuration involves two distinct chambers equipped with a dedicated heating system. The design logic is splitting the heating process into two steps to decouple as much as possible the boiling and heating processes, thus ensuring a more effective and controlled vaporization sequence. 
In the present work, a numerical performance analysis of the VLM undergoing actively controlled dual pulsed heating is provided, delving into the thermal aspects of the design. To this purpose, an in-house quasi-1D VLM model is used. Results prove the importance of implementing a dual heating strategy to minimize thermal stresses and maximize the device's lifetime. The numerical assessment is complemented by an experimental characterization of the thermal and propulsive performance of a real device. This approach gives us a strong and reliable testing setup, ensuring accurate data collection for understanding how the device performs. The most relevant insights are outlined and discussed.",1
